0-7	which,that
0-8	which
0-9	which
0-15	that
0-21	that
0-22	that
0-23	that
0-25	that
0-38	that
3-2	terrorist,attacks
3-3	by
3-4	by
3-5	by
3-11	thought,fallen,from,hundreds
3-12	thought,fallen,hundreds,15
3-13	thought,fallen,to,several,score
4-19	presumably,including,allawi
4-20	presumably,including,allawi
7-2	escalated
9-8	take
9-15	britain
9-17	britain
10-1	pointless
10-9	pointless
10-10	pointless
10-12	pointless
10-13	pointless
10-14	pointless
10-15	pointless
10-16	pointless,whole,idea
10-17	pointless
10-18	pointless,whole,idea
10-19	pointless,whole,idea
17-0	pakistan
18-3	not
26-4	there
26-5	there
26-7	there
26-8	there
26-16	there
26-17	there
26-18	there
26-19	there
26-20	there
26-21	there
29-10	nevada
29-11	nevada,which
29-12	nevada
29-14	which
29-16	which
29-19	which
29-20	which
30-3	along,j.
30-4	along,j.
30-8	along,j.
30-9	along,j.
30-18	along,j.
32-16	contributes,shannon,plumb
32-17	contributes,diary,chaplinesque
32-19	contributes,shannon,plumb
32-20	contributes,diary,chaplinesque
32-21	contributes,a,chaplinesque,diary
32-23	contributes,shannon,plumb
32-24	contributes,diary,chaplinesque
32-25	contributes,a,chaplinesque,diary
32-26	contributes,of,a,mad,housewife
33-1	further,managerial,instability
33-2	instability
33-3	financial,penalties
33-4	instability
33-11	financial,penalties
33-12	instability,supporting,findings
34-10	had
34-14	had
34-17	had
37-30	that,amount
37-31	amount
37-32	amount
37-33	amount,which
37-34	amount
37-35	that,amount
37-36	that,amount,which
37-37	that,amount
37-38	that,amount
37-39	amount
37-40	amount,which
37-41	amount
37-42	amount
37-43	amount,which
37-44	amount
37-45	amount
37-46	amount
37-47	which
37-48	which
37-49	which,amount
37-50	amount
37-51	amount
39-4	the,psychic,spoon-bender
44-2	it,set
44-3	it,set
44-9	that
44-10	that
44-11	that
46-1	failed
46-2	failed
46-14	failed,that
46-15	failed,keep,sense
46-16	failed,keep
47-2	based
47-5	based
47-6	based
47-7	based
47-16	strengthen
47-17	strengthen
49-6	yale
49-11	yale
52-9	won,of
52-12	of,won,including,11,straight
53-3	this,revelatory,micro-exhibition,reunites
53-4	whom
53-7	whom
53-10	whom
53-11	whom
61-3	at,gay,men
63-9	left,who
63-12	who,had,left
63-13	left,who
63-14	left
63-16	who,had,left
